countryiso3code,NY.GDP.PCAP.KD,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,SP.URB.TOTL.IN.ZS,SP.DYN.LE00.IN,IT.NET.USER.ZS,EN.GHG.CO2.PC.CE.AR5,country,region,income
AFG,378.06630312259,2.26694373649188,-4.64470870797774,14.008,15.2924823859473,16.8527881206002,50.7318770310383,34.7432471445174,13.4498227120978,46.3743698691993,25.4730529631167,66.035,15.92840004,0.280995468771367,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income
AGO,2809.15727975557,1.26330814020108,13.6441017767714,14.051,12.3076318613212,32.3263024339928,20.7071811983153,20.6897623256468,35.1292267229987,41.8051676690801,69.8515032220457,64.617,37.88589859,0.743838637301548,Angola,Sub-Saharan Africa ,Lower middle income
ALB,6198.17195301204,4.01541716935742,4.75834555150038,10.669,23.4392861436214,38.4188212901288,43.9336721089435,16.2742388313006,23.160711973189,47.6649908239316,58.2106086137857,79.602,83.13559161,1.74914408919284,Albania,Europe & Central Asia,Upper middle income
ARE,41926.5823645673,4.30118228020602,1.62670837213248,2.151,26.6386707861598,106.846139017261,92.1988402202852,0.764068711477443,45.4007387994769,53.8351924890457,85.6680699002526,82.909,100.0,18.3804823292732,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income
ARG,12993.0928872416,-1.85578803046339,133.488935594175,6.139,19.3822632919135,12.8223120961047,13.8546391521167,5.8467786039069,25.1722105252735,53.1990739500308,92.1945132257907,77.395,89.22897166,4.16990486776205,Argentina,Latin America & Caribbean ,Upper middle income
ARM,5197.23509013575,8.29999999959539,1.98041877615553,12.405,22.9413054452812,61.008329479156,62.4104205984709,8.10223799188799,22.8800961616671,60.3450320849135,65.6956882008852,77.4658536585366,79.99663036,2.52966973653139,Armenia,Europe & Central Asia,Upper middle income
ATG,17789.4058123944,2.42736300110336,5.06713865364212,,,,,1.94326780682544,18.9871150486925,69.0617140789051,24.4500156687422,77.598,72.12409973,3.68747053024133,Antigua and Barbuda,Latin America & Caribbean ,High income
AUS,61869.082498576,3.58382100798981,5.59701792296707,3.668,23.873104248989,26.701068252275,22.3432710661529,2.57169831894523,27.5167800860919,63.6365823532904,87.4866955653765,83.0512195121951,96.1160965,14.1596700845561,Australia,East Asia & Pacific,High income
AUT,46497.9114640341,-0.786244288594673,7.81413417002831,5.264,26.0041363951547,58.4867595713944,56.6661552513376,1.24176172038934,26.0904948643547,62.579986897047,69.2265358276021,81.7926829268293,95.33467117,6.40359510066021,Austria,Europe & Central Asia,High income
AZE,5668.61021317029,1.35447749115767,8.7854304984908,5.64,17.7431851628057,48.9964135000536,34.5394726155785,5.51058894617326,45.8408458162374,39.7647496434616,58.5075350483702,74.429,89.0,4.1112835014681,Azerbaijan,Europe & Central Asia,Upper middle income
