countryiso3code
AFG
AGO
ALB
ARE
ARG
ARM
ATG
AUS
AUT
AZE
BDI
BEL
BEN
BFA
BGD
BGR
BHR
BHS
BIH
BLR
BLZ
BOL
BRA
BRB
BRN
BTN
BWA
CAF
CAN
CHE
CHL
CHN
CIV
CMR
COD
COG
COL
COM
CPV
CRI
CUB
CYP
CZE
DEU
DMA
DNK
DOM
DZA
ECU
EGY
ESP
EST
ETH
FIN
FJI
FRA
FRO
FSM
GAB
GBR
GEO
GHA
GIN
GMB
GNB
GNQ
GRC
GRD
GRL
GTM
GUY
HKG
HND
HRV
HTI
HUN
IDN
IND
IRL
IRN
IRQ
ISL
ISR
ITA
JAM
JOR
JPN
KAZ
KEN
KGZ
KHM
KIR
KNA
KOR
KWT
LAO
LBN
LBR
LBY
LKA
LSO
LTU
LUX
LVA
MAC
MAR
MDA
MDG
MDV
MEX
MHL
MKD
MLI
MLT
MMR
MNE
MNG
MOZ
MRT
MUS
MWI
MYS
NAM
NER
NGA
NIC
NLD
NOR
NPL
NZL
OMN
PAK
PAN
PER
PHL
PLW
POL
PRI
PRT
PRY
PSE
PYF
QAT
ROU
RUS
RWA
SAU
SDN
SEN
SGP
SLB
SLE
SLV
SRB
SUR
SVK
SVN
SWE
SWZ
SYC
TCD
TGO
THA
TJK
TKM
TLS
TON
TTO
TUN
TUR
TZA
UGA
UKR
URY
USA
UZB
VCT
VEN
VNM
WSM
ZAF
ZMB
ZWE
