countryiso3code,country,region,income,cluster_k2,cluster_k3,PC1,PC2
FIN,Finland,Europe & Central Asia,High income,1,2,2.2053354511319854,0.1525853344408903
FJI,Fiji,East Asia & Pacific,Upper middle income,0,1,-0.8171355420749371,-0.6369182450737277
FRA,France,Europe & Central Asia,High income,1,2,2.2509630000718444,-0.57932802695194
FRO,Faroe Islands,Europe & Central Asia,High income,1,1,0.28398619217490456,-0.4890537533756795
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,0,0,-2.2894872606756094,-3.136225283485437
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,1,1,-0.20653832270150768,1.6407203086964355
GBR,United Kingdom,Europe & Central Asia,High income,1,2,2.528249839077479,-0.5652548373218318
GEO,Georgia,Europe & Central Asia,Upper middle income,1,1,0.731805608986632,-0.8495146021278736
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,0,0,-2.1858437841621225,0.270858730191362
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,0,0,-3.383931455647288,-0.07533213624546847
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,0,0,-3.012181436884987,-0.7599594284902518
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,0,0,-3.987423414836414,-0.3605884293781888
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,1,1,-0.6155991580466198,0.9036310295103832
GRC,Greece,Europe & Central Asia,High income,1,2,1.9982017839814405,-1.2687624601265695
GRD,Grenada,Latin America & Caribbean ,Upper middle income,1,1,0.3421012532100915,-1.5427583380626455
GRL,Greenland,Europe & Central Asia,High income,1,1,1.3779958851918288,0.41561950883939003
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,0,1,-1.1621277173981468,-0.4865828849319732
GUY,Guyana,Latin America & Caribbean ,High income,0,1,-0.8426436847334072,3.029467668682864
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,1,2,5.048459549222866,-3.3930295002669872
HND,Honduras,Latin America & Caribbean ,Lower middle income,0,1,-0.8350850492434491,-0.555231948118101
HRV,Croatia,Europe & Central Asia,High income,1,2,1.4017472758783405,-0.21827004699952282
HTI,Haiti,Latin America & Caribbean ,Lower middle income,0,0,-3.336157537206716,0.025366466574595632
HUN,Hungary,Europe & Central Asia,High income,1,2,1.7610459742891362,0.13519041333818316
IDN,Indonesia,East Asia & Pacific,Upper middle income,0,1,-1.2861445193169123,1.9843686384459231
IND,India,South Asia,Lower middle income,0,0,-1.8649945067701643,0.7206224800897039
IRL,Ireland,Europe & Central Asia,High income,1,2,3.4392128760724154,0.49722538254032417
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,1,1,0.12388951186009359,2.4926680513532893
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,1,1,0.22565227648279299,2.0095671778582873
ISL,Iceland,Europe & Central Asia,High income,1,2,2.6993135362552385,0.19147032294528837
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,2,2.5263421895726363,-0.028994376112624606
ITA,Italy,Europe & Central Asia,High income,1,2,1.938679633099399,0.10393647121507964
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,1,1,0.07921939316690553,-0.6374482586999529
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,1,1.2238694648589643,-0.6267028148672116
JPN,Japan,East Asia & Pacific,High income,1,2,2.4397055901223843,0.9078257801111193
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,1,1,0.994526129535149,1.4135725757469075
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,0,0,-3.25118513202201,-1.127184211827395
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,0,1,-0.7535634375010927,-0.05956034119208791
KHM,Cambodia,East Asia & Pacific,Lower middle income,0,0,-1.41951187790471,1.7972104404138025
KIR,Kiribati,East Asia & Pacific,Lower middle income,0,1,-1.4614118610294795,-1.964091674228988
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,1,1,0.9159708788087277,-0.9748798924921149
KOR,"Korea, Rep.",East Asia & Pacific,High income,1,2,2.6699628157742263,1.5617508479595887
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,2,3.248640223989631,2.859303386596943
LAO,Lao PDR,East Asia & Pacific,Lower middle income,0,0,-1.6632668934782326,1.0644526751598358
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,1,0.5531515203231101,-2.383197324825634
LBR,Liberia,Sub-Saharan Africa ,Low income,0,0,-3.62477891710403,-0.057064645017881624
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,1,1,1.0953461536320586,2.8956049218865196
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,1,1,0.7499285816674143,-2.5210941925152017
LKA,Sri Lanka,South Asia,Lower middle income,0,0,-1.5958671411441512,0.006260762132315565
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,0,0,-2.075278190985173,-0.8254097307408025
LTU,Lithuania,Europe & Central Asia,High income,1,2,1.9088941382013696,-0.39797435466836617
LUX,Luxembourg,Europe & Central Asia,High income,1,2,5.327320484019582,-2.5599002825054424
LVA,Latvia,Europe & Central Asia,High income,1,2,1.580258049296692,-0.5739580335422345
MAC,"Macao SAR, China",East Asia & Pacific,High income,1,2,3.755599357944246,-3.783100181243124
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1,1,0.004193409706288582,0.0891427041594789
MDA,Moldova,Europe & Central Asia,Upper middle income,1,1,-0.33013270886234186,-0.588120601640634
MDG,Madagascar,Sub-Saharan Africa ,Low income,0,0,-3.8411560315967423,-0.5568005799354226
MDV,Maldives,South Asia,Upper middle income,1,2,1.4738329519171491,-1.4860436602568217
MEX,Mexico,Latin America & Caribbean ,Upper middle income,1,1,0.8279703667948034,0.8254714845880157
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,0,1,-0.671345132908659,-2.361527588847866
MKD,North Macedonia,Europe & Central Asia,Upper middle income,1,1,1.0301322236353576,-0.21424802931547815
MLI,Mali,Sub-Saharan Africa ,Low income,0,0,-3.8991657286853347,0.2592466523790469
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,1,2,3.9693243299108665,-2.2752889133313836
MMR,Myanmar,East Asia & Pacific,Lower middle income,0,0,-3.574969490768865,0.9465056524704255
MNE,Montenegro,Europe & Central Asia,Upper middle income,1,1,1.3357167471006084,-1.3392931356265025
MNG,Mongolia,East Asia & Pacific,Upper middle income,1,1,0.45286996558266335,1.777191326861193
MOZ,Mozambique,Sub-Saharan Africa ,Low income,0,0,-3.368187837935036,-0.8370185908154538
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,0,0,-1.8641339202462048,0.8493705630626648
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,1,1,0.8501616583346798,-1.237097725314225
MWI,Malawi,Sub-Saharan Africa ,Low income,0,0,-4.3961545257724985,-0.7782083205584378
MYS,Malaysia,East Asia & Pacific,Upper middle income,1,2,1.6035101088721544,1.0718079373769736
NAM,Namibia,Sub-Saharan Africa ,Lower middle income,0,1,-0.7853830970570714,-0.3228924338681105
NER,Niger,Sub-Saharan Africa ,Low income,0,0,-4.559017792692667,-0.26791183981454764
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,0,0,-3.285613457674149,-0.4655364962681798
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,0,1,-1.0626357226945768,-0.019434322566773313
NLD,Netherlands,Europe & Central Asia,High income,1,2,3.456079146887808,-0.6938113709337347
NOR,Norway,Europe & Central Asia,High income,1,2,2.449888113476829,1.898860674984838
NPL,Nepal,South Asia,Lower middle income,0,0,-2.446617210404364,-0.9696105494073903
NZL,New Zealand,East Asia & Pacific,High income,1,2,2.2446213088799363,0.37325516885433035
